Regret,Relative Regret,Accuracy,Optimal
0.4,0.02380952489078726,0.9722222222222222,False
0.0,0.0,1.0,True
0.4,0.011799409498393214,0.9861111111111112,False
-0.0,-0.0,1.0,True
0.4,0.005128205128205128,0.9583333333333334,False
0.0,0.0,0.9722222222222222,True
1.1,0.06214688997659242,0.8194444444444444,False
0.8,0.014440432815264408,0.9236111111111112,False
0.4,0.02209944704805138,0.9444444444444444,False
-0.0,-0.0,1.0,True
1.6,0.040816325736214666,0.9027777777777778,False
0.0,0.0,0.9652777777777778,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
6.5,0.10366826030155334,0.9305555555555556,False
0.4,0.02,0.9722222222222222,False
-0.0,-0.0,1.0,True
-0.0,-0.0,0.9861111111111112,True
-0.0,-0.0,1.0,True
-0.0,-0.0,0.9375,True
-0.0,-0.0,1.0,True
0.4,0.008771930118089981,0.9097222222222222,False
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.4,0.025,0.9861111111111112,False
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.8,0.04624277660580571,0.9513888888888888,False
0.0,0.0,0.9583333333333334,True
0.0,0.0,1.0,True
0.8,0.0512820500280417,0.8819444444444444,False
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
1.6,0.0367816091954023,0.8611111111111112,False
0.4,0.021621621621621623,0.9583333333333334,False
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.8,0.020618557106461616,0.9375,False
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,0.8472222222222222,True
-0.0,-0.0,1.0,True
-0.0,-0.0,0.8819444444444444,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
1.2,0.0681818167040171,0.7847222222222222,False
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,0.9583333333333334,True
0.0,0.0,1.0,True
0.0,0.0,0.9722222222222222,True
-0.0,-0.0,1.0,True
-0.0,-0.0,0.9861111111111112,True
8.0,0.2325581292193156,0.9444444444444444,False
0.4,0.028571428571428574,0.9722222222222222,False
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
1.2,0.09090909222269192,0.8611111111111112,False
0.0,0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,0.9861111111111112,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
0.0,0.0,1.0,True
-0.0,-0.0,1.0,True
0.0,0.0,1.0,True
